name,bio
"20 YRS OF SHOGUN FT MONRROE, POLA & BRYSON, JAEVON, EMILIY MAKIS, DUSKEE","The renowned UK drum and bass label celebrated by Moroe, Pola, Jaevon and Emily Makis."
3 DAFT MONKEYS,"3 Daft Monkeys are known for their eclectic mix of folk, world music, and punk. Their energetic style often blends traditional folk instruments with a modern twist."
47SOUL,"Palestinian musical collective fusing hip hop, electronica and R&B into the sounds of Dabke and other Shaa’bi roots music from the Levantine region."
4AM KRU,"4AM Kru is a DJ duo known for their energetic sets that blend drum and bass with jungle influences. Their music often features rapid breakbeats and heavy basslines, making them a popular act in the rave and underground music scene."
A FOR ALPHA,"Electronic music luminary drawing inspiration from the 90s underground scene, blending reworked classics with contemporary productions."
A GUY CALLED GERALD,"A Guy Called Gerald is an influential figure in electronic music, particularly known for his contributions to house, techno, and drum and bass. His track 'Voodoo Ray' is iconic in the acid house movement."
A-FUTURE,"Freakenstein, intergalactic funk child, inspired by Underground Resistance. Delivers explosive techno and electro, igniting dancefloors with futuristic funk."
A.G.,"A.G. is known for his contributions to the hip-hop genre, particularly within the sub-genre of D.I.T.C. (Diggin' in the Crates Crew) which is a collective known for its influence on the underground hip-hop scene."
ADAM SHELTON,"Adam Shelton, Walsall-born, runs Below raves, One Records, Café Artum, and London’s Tantrum. Electro visionary launching Eon Records."
ADDISON GROOVE,"Addison Groove is the alias of Tony Williams, an electronic music producer known for his influential contributions to the footwork and juke scenes. He blends these styles with elements of dubstep and techno, creating a unique and danceable sound."
ADELPHI MUSIC FACTORY,"Adelphi Music Factory is known for their modern house music with a distinct, uplifting, and euphoric style that draws on classic house and rave influences."
ADMNTI B2B JACK LING,"ADMNTi has established himself as one of the tastemakers of his generation. FUSE and its offshoot INFUSE, Half Baked and Beeyou are some of the brands he has been known to frequent. Jack lings versatility and commitment to digging deep into the records of the past and keeping an ear to the ground."
AFLA,Afla is recognized for his vibrant Afrobeat and highlife music. His innovative fusion of traditional African rhythms with contemporary sounds makes his music lively and engaging.
AFRIQUOI,"Live African dance music, fusing Congolese guitar and Gambian kora virtuosity with UK electronica to make dancefloor-friendly new music."
AFRODEUTSCHE,"AFRODEUTSCHE, Henrietta Smith-Rolla, Manchester-based DJ/producer. Blends Afrofuturistic electro, techno, classical, Detroit house. Drexciyan and Underground Resistance-inspired."
AHADADREAM,"Ahadadream is a London-based DJ and producer known for his contributions to the UK funky and bass scenes. He blends diverse influences to create vibrant, dancefloor-ready tracks."
AHADADREAM B2B NIKKI NAIR B2B RAJI RAGS,Producer and DJ Nikki Nair’s hybridized dance music meets Ahadadream’s percussive gems and Rags’ hip hop sounds.
ALBERT LEE,Well-travelled guitarist’s guitarist with a unique picking style performed at breakneck speeds that have to be seen to be believed.
ALEX MILLS,"Alex Mills is recognized in the House and Dance music scenes, known for her distinct soulful vocals that often enhance deep house and electronic dance tracks."
ALEX NUT,"Label catalyst bringing house, soul, boogie, funk, hip hop, broken beat, jazz and a variety of electronic sounds."
ALEXANDER NUT,"Alexander Nut is a renowned DJ and producer known for his eclectic style, blending elements of funk, soul, hip-hop, and electronic music. He is also the co-founder of Eglo Records, a label that has released music by artists such as Floating Points and Fatima."
ALEXIS TAYLOR,"Alexis Taylor is a member of the band Hot Chip and is known for his work in the electronic and indie pop genres. His music often features a combination of electronic beats, melodic synth lines, and thoughtful lyrics."
ALISHA B2B ARCHIE HAMILTON,House sounds with some sultry deep rumbling low-end bass.
ALMASS BADAT B2B ARTHI,"International DJ, MC and broadcaster Almass Badat meets Arthi’s high-octane club sounds from dancehall to baile funk to garage, bassline and beyond."
ALOGTE OHO & HIS SOUNDS OF JOY,"Rarely has a band lived up to its name as well as this Ghanian collective, fusing sinuous Afrofunk with glorious vocal harmonies."
ALTERN 8,"Altern 8 is an English electronic music act from Stafford, best known for their early 1990s rave music, which combined elements of acid house, techno, and breakbeat hardcore."
ALUCIDNATION,"Scenic, panoramic soundscaping. Aural Architecture."
ALVVAYS,Melody driven alternative rock with often “pathetic perspectives” on life and a hint of singer Molly Rankin’s Celtic roots.
AMALIAH B2B DANIELLE,"A wicked mix of rampant and rhythmic bass, techno and house from this duo who first teamed up at the tail end of last year."
AMELIE LENS,"Amelie Lens is a Belgian electronic music DJ, producer, and owner of the Lenske record label. She is best known for her dark, driving techno beats, which have made her a heavyweight in the international techno scene."
AN DANNSA DUB,Six-piece live band fusing the mystical energy and instruments of traditional Scottish music and Gaelic song with the heavy driving basslines of digital dub.
ANA ROXANNE,"Embodying the radiance of R&B vocalists, the immaculateness of church hymns, and the soul-stirring power of devotional music, Ana Roxanne makes incredibly intimate pieces of music that combine meditative drone, calming ambient soundscapes, and angelic vocals."
ANDREW MAXWELL MORRIS,"Andrew Maxwell Morris is a singer-songwriter whose music fits within the genre of folk and acoustic rock. His songs often feature heartfelt lyrics, melodic guitar work, and a soulful vocal delivery."
ANDY BLAKE,"Andy Blake is a well-respected DJ and producer in the underground house and techno scenes, known for his deep knowledge of music and eclectic, vinyl-heavy DJ sets."
ANDY C,"Andy C is a legendary figure in the drum & bass genre, co-founder of the renowned Ram Records. Known for his rapid mixing skills and high-energy DJ sets, he has been an essential force in bringing drum & bass to a global audience."
ANDY CATO,"Andy Cato is best known as one half of the electronic music duo Groove Armada. His work primarily falls within the house, electronic, and chill-out genres, creating an eclectic mix of danceable and ambient tracks."
ANGEL D’LITE,"Angel D’Lite is an emerging artist in the electronic music scene, known for her vibrant and eclectic mixes. Her style often blends elements of house, trance, and breakbeat, creating a unique and energetic soundscape."
ANGIE MCMAHON,Assured Australian singer songwriter with a bittersweet line in melancholy underpinning her storylines.
ANISH KUMAR,"Anish Kumar is an artist in the electronic and house music scene. His music often features vibrant beats and infectious grooves, making him a rising star in the dance music community."
ANNA PRIOR,Anna Prior is the drummer of the electronic band Metronomy and is known for her contributions to the indie-pop and electronic music scenes.
ANNA WALL,"Anna Wall is a house and techno DJ, known for her deep and groovy sets and her contributions to the underground electronic music scene in the UK."
ANNA WALL B2B BOBBY.,The new Fabric London resident back to back with Bobby kicking off this Fabric anniversary.
ANNE-MARIE,The wonderfully self-deprecating R&B dance pop star and highlight of The Voice.
ANNIE MAC,"The internationally renowned DJ, author and host of Before Midnight events opens proceedings early, setting the right mood for the weekend."
ANOTR,"Blending, mixing, and compiling music into something you’ve never heard before while redefining house music."
ANTIKVARINIAI KASPIROVSKIO DANTYS,"Antikvariniai Kaspirovskio Dantys is a Lithuanian band known for their eclectic mix of Balkan, ska, and punk influences, creating lively and upbeat music."
ANTONY SZMIEREK,"Boasting a hip hop flow with his trademark, dynamic lyricism, an indie hip hop spoken wordsmith and champion of vocabulary."
APIENTO,Test Pressing blogger and esoteric DJ.
ARCHIE HAMILTON,"Archie Hamilton is a prominent DJ and producer in the minimal house and techno scenes. He is known for his intricate production style, balancing deep, rolling basslines with crisp percussion and subtle melodies. Hamilton is also the founder of the Moscow Records label."
ARIELLE FREE,Radio 1 DJ and Love Island Morning After host.
ARLO B2B LULAH FRANCS,Arlo’s drum and bass colliding with Lulah’s electronic breaks.
ARLO PARKS,Award-winning poetic storytelling with an emotional resonance that’s unflinchingly sincere and personal.
AROOJ AFTAB,Gorgeous Urdu-infused dream pop with an intriguing mix of instruments from this Pakistani vocalist.
ARXX,Alt rock gal pal duo playing pert pop songs with great hooks and a nod to alternative hip hop and rap. Great videos too.
ASHA PUTHLI,The queen of cosmic disco makes a rare live appearance sparked by the success of a new album showcasing remixes of classic cuts like ‘Space Talk’ and ‘Right Down Here’.
AUGUST CHARLES,"Alt-Soul singer born in Ndola, Zambia influenced by Frank Ocean and Amy Winehouse."
