name,bio
3 DAFT MONKEYS,"3 Daft Monkeys are known for their eclectic mix of folk, world music, and punk. Their energetic style often blends traditional folk instruments with a modern twist."
47SOUL,"Palestinian musical collective fusing hip hop, electronica and R&B into the sounds of Dabke and other Shaa’bi roots music from the Levantine region."
4AM KRU,"4AM Kru is a DJ duo known for their energetic sets that blend drum and bass with jungle influences. Their music often features rapid breakbeats and heavy basslines, making them a popular act in the rave and underground music scene."
A FOR ALPHA,"Electronic music luminary drawing inspiration from the 90s underground scene, blending reworked classics with contemporary productions."
A GUY CALLED GERALD,"A Guy Called Gerald is an influential figure in electronic music, particularly known for his contributions to house, techno, and drum and bass. His track 'Voodoo Ray' is iconic in the acid house movement."
A-FUTURE,"Freakenstein, intergalactic funk child, inspired by Underground Resistance. Delivers explosive techno and electro, igniting dancefloors with futuristic funk."
A.G.,"A.G. is known for his contributions to the hip-hop genre, particularly within the sub-genre of D.I.T.C. (Diggin' in the Crates Crew) which is a collective known for its influence on the underground hip-hop scene."
ADAM SHELTON,"Adam Shelton, Walsall-born, runs Below raves, One Records, Café Artum, and London’s Tantrum. Electro visionary launching Eon Records."
ADDISON GROOVE,"Addison Groove is the alias of Tony Williams, an electronic music producer known for his influential contributions to the footwork and juke scenes. He blends these styles with elements of dubstep and techno, creating a unique and danceable sound."
ADELPHI MUSIC FACTORY,"Adelphi Music Factory is known for their modern house music with a distinct, uplifting, and euphoric style that draws on classic house and rave influences."
ADMNTI ,"Renowned for crafting deep and introspective techno, Admnti's sound is both cerebral and danceable."
AFLA,Afla is recognized for his vibrant Afrobeat and highlife music. His innovative fusion of traditional African rhythms with contemporary sounds makes his music lively and engaging.
AFRIQUOI,"Live African dance music, fusing Congolese guitar and Gambian kora virtuosity with UK electronica to make dancefloor-friendly new music."
AFRODEUTSCHE,"AFRODEUTSCHE, Henrietta Smith-Rolla, Manchester-based DJ/producer. Blends Afrofuturistic electro, techno, classical, Detroit house. Drexciyan and Underground Resistance-inspired."
AHADADREAM,"London-based DJ and producer Ahadadream is known for his percussive, high-energy club tracks that blend UK Funky with global rhythms from Afro Electronic, Amapiano, and Kuduro?"
AJI PA' TI ,A UK-based ensemble delivering energetic Afro-Cuban rhythms and salsa music.
ALBERT LEE,Well-travelled guitarist’s guitarist with a unique picking style performed at breakneck speeds that have to be seen to be believed.
ALEX MILLS,"Alex Mills is recognized in the House and Dance music scenes, known for her distinct soulful vocals that often enhance deep house and electronic dance tracks."
ALEX NUT,"Label catalyst bringing house, soul, boogie, funk, hip hop, broken beat, jazz and a variety of electronic sounds."
