THE MANIFREDS,"Legendary British Invasion band known for their dynamic R&B and blues-rock sound, reformed from the original Manfred Mann lineup in 1991."
PAUL JONES,"Charismatic lead singer and harmonica player for The Manfreds, blending classic R&B with blues influences."
MIKE D'ABO,"Acclaimed vocalist and keyboardist for The Manfreds, renowned for his work in British pop and rock."
TOYAH,Iconic punk and new wave singer with a theatrical flair and a diverse musical repertoire.
ROBERT,Known for his innovative contributions to the electronic and experimental music scenes.
SHYGIRL,"Bold and avant-garde rapper and singer, merging electronic and club music with sharp lyrical content."
MIA KODEN,Up-and-coming artist blending soulful vocals with contemporary R&B and electronic beats.
TASH LC,Versatile DJ and producer celebrated for her eclectic mixes of global club music and Afrobeat.
DR BANANA,"Emerging talent in the house and techno scene, known for his energetic sets and deep, bass-driven tracks."
LUKAS WIGFLEX,"Innovative DJ and producer in the UK underground electronic music scene, famed for his genre-defying performances."
OK WILLIAMS,Pioneering high-energy DJ known for her eclectic blend of leftfield techno and experimental house beats.
TAI LOKUN,Acclaimed for his atmospheric ambient soundscapes and introspective electronica.
CHARLI XCX,Innovative pop star blending hyperpop with electroclash and punk influences.
ALISHA,UK garage and house DJ known for her dynamic and bass-heavy sets.
ARCHIE HAMILTON,"Renowned for his deep, minimal techno and tech house productions."
GROOVE ARMADA,"Iconic duo famous for their fusion of house, trip-hop, and funk."
DAN SHAKE,"Acclaimed for his infectious blend of disco, house, and Afrobeat rhythms."
LOVEFOXY,Emerging artist blending indie pop with dreamy electronic elements.
ARLO,Soulful singer-songwriter mixing R&B with contemporary electronic beats.
LULAH FRANCS,Up-and-coming artist known for her fusion of synth-pop and alternative R&B sounds.
DR DUBPLATE,"A staple of the UK underground scene, Dr Dubplate mixes garage, dub, and breakbeats with a focus on vinyl culture and emerging talent through his label ec2a."
TODD EDWARDS,"An influential figure in UK garage, Todd Edwards is known for his innovative use of vocal sampling and complex, choppy beats that define the genre."
EATS EVERYTHING,"A powerhouse in house and techno, Eats Everything's sets and productions are celebrated for their bass-heavy, eclectic sound."
GIRLS DON'T SYNC,"This dynamic all-female DJ collective is known for their high-energy sets that blend house, techno, and UK garage with a feminist edge."
JYOTY,"A rising star in the DJ world, Jyoty's eclectic mixes span house, hip-hop, and R&B, reflecting her broad musical influences and vibrant personality."
LIL SILVA,"A versatile producer and artist, Lil Silva fuses UK funky, house"
